[2026-02-26T02:32:44.440Z] Metric: 2025-01-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:32:44.442Z] Metric: 2025-02-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 28 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:32:44.443Z] Metric: 2025-03-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 241 -> Added: 0
[2026-02-26T02:32:44.444Z] Metric: 2025-04-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 497 -> Added: 0
[2026-02-26T02:32:44.445Z] Metric: 2025-05-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 490 -> Added: 0
[2026-02-26T02:32:44.446Z] Metric: 2025-06-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 143 -> Added: 0
[2026-02-26T02:32:44.447Z] Metric: 2025-07-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 312 -> Added: 0
[2026-02-26T02:32:44.447Z] Metric: 2025-08-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 361 -> Added: 0
[2026-02-26T02:32:44.448Z] Metric: 2025-09-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 65 -> Added: 0
[2026-02-26T02:32:44.449Z] Metric: 2025-10-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 160 -> Added: 0
[2026-02-26T02:32:44.450Z] Metric: 2025-11-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 59 -> Added: 0
[2026-02-26T02:32:44.450Z] Metric: 2025-12-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 218 -> Added: 0
[2026-02-26T02:32:44.452Z] Metric: 2026-01-01 | Range: 2026-01-27-2026-02-26 | OverlapDays: 6 | TotalDays: 31 | Prop: 0.1935 | NewFoll: 268 -> Added: 51.87096774193548
[2026-02-26T02:32:47.385Z] Metric: 2025-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:32:47.385Z] Metric: 2025-02-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 28 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:32:47.386Z] Metric: 2025-03-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 241 -> Added: 0
[2026-02-26T02:32:47.387Z] Metric: 2025-04-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 497 -> Added: 0
[2026-02-26T02:32:47.388Z] Metric: 2025-05-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 490 -> Added: 0
[2026-02-26T02:32:47.390Z] Metric: 2025-06-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 143 -> Added: 0
[2026-02-26T02:32:47.391Z] Metric: 2025-07-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 312 -> Added: 0
[2026-02-26T02:32:47.393Z] Metric: 2025-08-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 361 -> Added: 0
[2026-02-26T02:32:47.395Z] Metric: 2025-09-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 65 -> Added: 0
[2026-02-26T02:32:47.396Z] Metric: 2025-10-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 160 -> Added: 0
[2026-02-26T02:32:47.398Z] Metric: 2025-11-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 59 -> Added: 0
[2026-02-26T02:32:47.399Z] Metric: 2025-12-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 218 -> Added: 0
[2026-02-26T02:32:47.400Z] Metric: 2026-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 7 | TotalDays: 31 | Prop: 0.2258 | NewFoll: 268 -> Added: 60.516129032258064
[2026-02-26T02:39:06.799Z] Metric: 2025-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:39:06.907Z] Metric: 2025-02-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 28 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:39:06.908Z] Metric: 2025-03-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 241 -> Added: 0
[2026-02-26T02:39:06.909Z] Metric: 2025-04-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 497 -> Added: 0
[2026-02-26T02:39:06.911Z] Metric: 2025-05-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 490 -> Added: 0
[2026-02-26T02:39:06.912Z] Metric: 2025-06-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 143 -> Added: 0
[2026-02-26T02:39:06.912Z] Metric: 2025-07-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 312 -> Added: 0
[2026-02-26T02:39:06.913Z] Metric: 2025-08-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 361 -> Added: 0
[2026-02-26T02:39:06.914Z] Metric: 2025-09-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 65 -> Added: 0
[2026-02-26T02:39:06.915Z] Metric: 2025-10-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 160 -> Added: 0
[2026-02-26T02:39:06.916Z] Metric: 2025-11-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 59 -> Added: 0
[2026-02-26T02:39:06.917Z] Metric: 2025-12-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 218 -> Added: 0
[2026-02-26T02:39:06.919Z] Metric: 2026-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 7 | TotalDays: 31 | Prop: 0.2258 | NewFoll: 268 -> Added: 60.516129032258064
[2026-02-26T02:40:19.863Z] Metric: 2025-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:40:19.864Z] Metric: 2025-02-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 28 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:40:19.865Z] Metric: 2025-03-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 241 -> Added: 0
[2026-02-26T02:40:19.866Z] Metric: 2025-04-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 497 -> Added: 0
[2026-02-26T02:40:19.867Z] Metric: 2025-05-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 490 -> Added: 0
[2026-02-26T02:40:19.867Z] Metric: 2025-06-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 143 -> Added: 0
[2026-02-26T02:40:19.868Z] Metric: 2025-07-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 312 -> Added: 0
[2026-02-26T02:40:19.869Z] Metric: 2025-08-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 361 -> Added: 0
[2026-02-26T02:40:19.871Z] Metric: 2025-09-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 65 -> Added: 0
[2026-02-26T02:40:19.873Z] Metric: 2025-10-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 160 -> Added: 0
[2026-02-26T02:40:19.874Z] Metric: 2025-11-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 59 -> Added: 0
[2026-02-26T02:40:19.875Z] Metric: 2025-12-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 218 -> Added: 0
[2026-02-26T02:40:19.878Z] Metric: 2026-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 7 | TotalDays: 31 | Prop: 0.2258 | NewFoll: 268 -> Added: 60.516129032258064
[2026-02-26T02:40:20.730Z] Metric: 2025-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:40:20.731Z] Metric: 2025-02-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 28 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:40:20.732Z] Metric: 2025-03-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 241 -> Added: 0
[2026-02-26T02:40:20.733Z] Metric: 2025-04-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 497 -> Added: 0
[2026-02-26T02:40:20.734Z] Metric: 2025-05-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 490 -> Added: 0
[2026-02-26T02:40:20.734Z] Metric: 2025-06-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 143 -> Added: 0
[2026-02-26T02:40:20.735Z] Metric: 2025-07-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 312 -> Added: 0
[2026-02-26T02:40:20.736Z] Metric: 2025-08-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 361 -> Added: 0
[2026-02-26T02:40:20.737Z] Metric: 2025-09-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 65 -> Added: 0
[2026-02-26T02:40:20.738Z] Metric: 2025-10-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 160 -> Added: 0
[2026-02-26T02:40:20.740Z] Metric: 2025-11-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 59 -> Added: 0
[2026-02-26T02:40:20.743Z] Metric: 2025-12-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 218 -> Added: 0
[2026-02-26T02:40:20.745Z] Metric: 2026-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 7 | TotalDays: 31 | Prop: 0.2258 | NewFoll: 268 -> Added: 60.516129032258064
[2026-02-26T02:46:47.688Z] Metric: 2025-01-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:46:47.720Z] Metric: 2025-02-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 28 | Prop: 0.0000 | NewFoll: 0 -> Added: 0
[2026-02-26T02:46:47.721Z] Metric: 2025-03-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 241 -> Added: 0
[2026-02-26T02:46:47.722Z] Metric: 2025-04-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 497 -> Added: 0
[2026-02-26T02:46:47.723Z] Metric: 2025-05-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 490 -> Added: 0
[2026-02-26T02:46:47.724Z] Metric: 2025-06-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 143 -> Added: 0
[2026-02-26T02:46:47.725Z] Metric: 2025-07-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 312 -> Added: 0
[2026-02-26T02:46:47.726Z] Metric: 2025-08-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 361 -> Added: 0
[2026-02-26T02:46:47.727Z] Metric: 2025-09-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 65 -> Added: 0
[2026-02-26T02:46:47.728Z] Metric: 2025-10-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 160 -> Added: 0
[2026-02-26T02:46:47.729Z] Metric: 2025-11-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 30 | Prop: 0.0000 | NewFoll: 59 -> Added: 0
[2026-02-26T02:46:47.729Z] Metric: 2025-12-01 | Range: 2026-01-26-2026-02-25 | OverlapDays: 0 | TotalDays: 31 | Prop: 0.0000 | NewFoll: 218 -> Added: 0
